AP3;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
9;-75;-75;-75;-75;-75;-75;-75;;-68;-68;-70.9;-71;-71.5;-72.3;-76.1;-76.9;-77;-77;;;9
8.5;-75;-75;-75;-75;-75;-75;-75;;-68;-68;-70.9;-71;-71.5;-72.3;-76.1;-76.9;-77;-77;;;8.5
8;-74.4;-74.4;-74.3;-75;-73.7;-74.3;-74.3;;-68.2;-68.2;-71.2;-71.3;-72.7;-73.3;-76.2;-76.7;-77;-77;;;8
7.5;-72.8;-72.8;-71;-72;-69.2;-69.8;-69.8;;-70;-70;-76.6;-76.6;-75.8;-75;-77;-77;-77;-77;;;7.5
7;-69.5;-69.5;-66.1;-65.9;-64;-62.3;-62.3;;-68.1;-68.1;-77;-77;-76.4;-76.1;-77;-77;-77;-77;;;7
6.5;-65.3;-65.3;-64.6;-63.7;-62.1;-62;-62.05;-60.8;-62.75;-69.8;-73.4;-76.4;-76.5;-77;-77;-76.9;-77;-77;;;6.5
6;-64;-64;-63.9;-63.2;-62.3;-62.1;-62.1;-60.8;-55.7;-57;-65.8;-75.2;-77;-77;-74.5;-72.5;-72.5;-72.5;;;6
5.5;-64;-64;-64;-63.4;-63.3;-63.6;-65;-61.8;-60.9;-60.9;-61;-64.6;-73.3;-76.1;-74.6;-70.9;-66.2;-66.2;;;5.5
5;-64;-64;-64;-63.6;-64.1;-64.8;-64.83333333;-61.8;-61.35;-60.9;-61;-64.6;-73.3;-76.1;-69;-63.4;-63.2;-63.2;;;5
4.5;-64;-64;-64;-63.2;-63.4;-64.8;-64.7;-61.8;-61.8;;;;;;-61.4;-61.4;-62.3;-62.3;;;4.5
4;-64.1;-64.1;-63.3;-62.5;-60.6;-62.1;-58.7;-53.7;-41.25;-27.3;-27.2;-38.4;-49.2;-52.2;-48.95;-45;-55.8;-55.8;;;4
3.5;-64;-64;-64.6;-62.4;-60.1;-59.3;-53.1;-47.2;-28.8;-27.3;-27.2;-38.4;-49.2;-52.2;-52.9;-48.2;-61.9;-61.9;;;3.5
3;-64.3;-64.3;-66.9;-65;-61.1;-58.9;-53.2;-47.6;-32.8;-27;-30.3;-43.3;-51.3;-50.1;-63;-61.8;-71.5;-71.5;;;3
2.5;-64.3;-64.3;-69.4;-68;-62.7;-61;-56.3;-51.5;-35.9;-35.3;-42.15;-49.5;-54.5;-57.7;-64.8;-61.4;-77.5;-66.25;-83.7;-83.7;2.5
2;-62.8;-62.8;-72.5;-71.5;-64.7;-61.9;-59;-57.2;-45.8;-43;-54;-55.7;-57.7;-65.3;-66.6;-61;-83.5;-61;-83.7;-83.7;2
1.5;-58.4;-58.4;-75.3;-74.1;-65.6;-61.1;-59;-59;-60.5;-64.6;-63.9;-60.6;-58;-58.5;-59.4;-58.7;-61.4;-92;-86.9;-86.9;1.5
1;-58.4;-58.4;-75.3;-74.1;-65.6;-61.1;-59;-59;-60.5;-72.35;-80.1;-59.8;-58;-58;-58.2;-58;-59.3;-91.5;-80;-80;1
0.5;;;;;;;;;;-75.5;-75.5;-59.9;-58;-58;-61.3;-58;-60.5;-92;-87;-87;0.5
0;;;;;;;;;;-75.5;-75.5;-59.9;-58;-58;-61.3;-58;-60.5;-92;-87;-87;0
;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
