AP1;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
9;-62;-62;-62;-62;-62;-62;-62;;-74.6;-74.6;-77.9;-77.4;-74.4;-69.5;-64.4;-62;-62;-62;;;9
8.5;-62;-62;-62;-62;-62;-62;-62;;-74.6;-74.6;-77.9;-77.4;-74.4;-69.5;-64.4;-62;-62;-62;;;8.5
8;-62;-62;-61.6;-61.5;-61.8;-61.5;-61.5;;-73.2;-73.2;-74.9;-69.9;-65.1;-63.5;-62.6;-62.2;-62.1;-62.1;;;8
7.5;-61.8;-61.8;-60.2;-59.5;-58.4;-57.7;-57.7;;-66.2;-66.2;-62.4;-62.7;-63.6;-63.1;-62;-62;-62;-62;;;7.5
7;-61.5;-61.5;-59.7;-56.4;-53.2;-52;-52;;-70;-70;-62;-62.3;-62.5;-62;-62;-62;-62;-62;;;7
6.5;-63;-63;-61.1;-55.5;-52.2;-51;-51;-57.8;-77.2;-77.2;-66.4;-62.7;-62;-62;-62;-62.2;-62.1;-62.1;;;6.5
6;-64.8;-64.8;-63.8;-55.6;-52.9;-51.3;-51;-57.8;-62.9;-70.4;-61.6;-61.7;-62;-62.2;-63;-63.7;-64.6;-64.6;;;6
5.5;-65;-65;-65;-58.7;-55.7;-56.3;-56.5;-58.8;-60;-60;-56;-56.1;-60;-62.5;-62.7;-64.1;-66.4;-66.4;;;5.5
5;-65;-65;-64.9;-59.3;-56.7;-56.8;-56.75;-58.8;-60;-60;-56;-56.1;-60;-62.5;-64.7;-66.7;-67;-67;;;5
4.5;-65;-65;-64.5;-59.1;-57.5;-56.8;-57;-58.8;-58.8;;;;;;-66.8;-66.8;-67;-67;;;4.5
4;-63.6;-63.6;-60.6;-57.9;-57.1;-57.1;-57.3;-58.1;-57.6;-57;-57.2;-63;-65.8;-64.3;-67.05;-68.9;-68.3;-68.3;;;4
3.5;-54.9;-54.9;-52.5;-54.6;-55.8;-56.5;-57.1;-57.4;-57.1;-57;-57.2;-63;-65.8;-64.3;-65.2;-69.2;-69.7;-69.7;;;3.5
3;-49.3;-49.3;-47.6;-50.3;-52.8;-54.4;-55.6;-56.6;-57.3;-57.8;-57.8;-62.9;-66.9;-65.3;-65.7;-69.7;-70.3;-70.3;;;3
2.5;-47.2;-47.2;-43.6;-44;-50.6;-53;-54.7;-55.1;-56.9;-57.55;-57.35;-59.8;-61.85;-63.95;-65.8;-64.55;-68.85;-68;-68;-68;2.5
2;-47.9;-47.9;-42;-41.2;-48.8;-51.9;-52.4;-53;-55.2;-57.3;-56.9;-56.7;-56.8;-62.6;-65.9;-59.4;-67.4;-68;-68;-68;2
1.5;-50.2;-50.2;-41.6;-39.5;-48.3;-51.7;-52;-52;-52.9;-46.9;-47.3;-55.8;-56.2;-56.2;-56.4;-56;-58.2;-67.02;-73.5;-73.5;1.5
1;-50.2;-50.2;-41.6;-39.5;-48.3;-51.7;-52;-52;-52.9;-53.16;-65.3;-56;-56.3;-56;-56.7;-56;-58;-68.45;-78.9;-78.9;1
0.5;;;;;;;;;;-66.4;-66.4;-56.2;-61.1;-63.9;-58;-56.8;-67.8;-67.9;-68;-68;0.5
0;;;;;;;;;;-66.4;-66.4;-56.2;-61.1;-63.9;-58;-56.8;-67.8;-67.9;-68;-68;0
;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
