AP2;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
9;-42;-42;-42;-42;-42;-42;-42;;-80;-80;-82.9;-82.9;-82.9;-82.7;-84.6;-85;-85;-85;;;9
8.5;-42;-42;-42;-42;-42;-42;-42;;-80;-80;-82.9;-82.9;-82.9;-82.7;-84.6;-85;-85;-85;;;8.5
8;-42.8;-42.8;-42;-42.2;-44.4;-43.3;-43.3;;-80.2;-80.2;-82.5;-82.9;-82.7;-82.7;-84.6;-84.9;-85;-85;;;8
7.5;-45.5;-45.5;-48.8;-47.1;-51.4;-51.4;-51.4;;-78;-78;-84.8;-84.8;-84.3;-83.6;-85;-85;-85;-85;;;7.5
7;-51;-51;-55.8;-55.6;-57.1;-58.1;-58.1;;-77;-77;-85;-85;-84.6;-84.4;-85;-85;-85;-85;;;7
6.5;-56.3;-56.3;-57.7;-58.3;-58.5;-58;-58.1;-62.1;-72.75;-78.9;-81.9;-84.5;-84.6;-85;-85;-85;-85;-85;;;6.5
6;-58;-58;-58.2;-59.3;-59.2;-58.2;-58.2;-62.1;-66.6;-67.8;-76.3;-83.7;-85;-85;-84.4;-84.1;-84.1;-84.1;;;6
5.5;-58;-58;-58.1;-60.4;-62.2;-62.8;-66;-67.4;-69;-69.7;-74.9;-77.2;-82.7;-84.6;-84.5;-83.7;-82.7;-82.7;;;5.5
5;-58;-58;-58;-61.2;-64.4;-65.6;-65.9;-67.75;-68.55;-69.7;-74.9;-77.2;-82.7;-84.6;-83.3;-82.1;-82;-82;;;5
4.5;-58;-58;-58.4;-62.1;-65.2;-65.7;-66.1;-68.1;-68.1;;;;;;-82.2;-82.2;-82.1;-82.1;;;4.5
4;-58.8;-58.8;-61.2;-64.2;-67.4;-65.9;-67.6;-69.3;-69.95;-70.2;-70.1;-75;-81.1;-83.7;-81.35;-81;-81.6;-81.6;;;4
3.5;-62.4;-62.4;-64.3;-67.4;-68.9;-68.4;-70.9;-71.1;-70.6;-70.2;-70.1;-75;-81.1;-83.7;-81.7;-81;-81.4;-81.4;;;3.5
3;-63.9;-63.9;-64.6;-66.7;-68.9;-69.4;-71.2;-72.2;-72.5;-72.4;-72.8;-76.3;-81.5;-84;-83.8;-81;-84.3;-84.3;;;3
2.5;-64.1;-64.1;-64.6;-66;-68;-68.3;-69.3;-71.2;-73;-73.26666667;-74.4;-78.1;-82.1;-84.5;-84.55;-82.1;-86.8;-78.15;-91.8;-91.8;2.5
2;-64.2;-64.2;-64.8;-65.3;-66.9;-67.4;-67.3;-68.2;-73.2;-74.4;-76;-79.9;-82.7;-85;-85.3;-83.2;-89.3;-72;-91.8;-91.8;2
1.5;-64;-64;-65;-65.1;-66.6;-67;-67;-66.9;-71.4;-64.7;-71.1;-81.5;-83;-83.2;-83.3;-83;-80.9;-81.63333333;-92;-92;1.5
1;-64;-64;-65;-65.1;-66.6;-67;-67;-66.9;-71.4;-73.95;-83.2;-83;-83;-83;-83.1;-83;-83.5;-87.5;-91.5;-91.5;1
0.5;;;;;;;;;;-86.6;-86.6;-83.6;-83;-83.2;-84;-83;-83.7;-87.85;-92;-92;0.5
0;;;;;;;;;;-86.6;-86.6;-83.6;-83;-83.2;-84;-83;-83.7;-87.85;-92;-92;0
;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
